,日期,時間,outlier
274,2019/5/21,09:45:00,False
275,2019/5/21,10:00:00,False
276,2019/5/21,10:15:00,False
277,2019/5/21,10:30:00,False
278,2019/5/21,10:45:00,False
279,2019/5/21,11:00:00,False
280,2019/5/21,11:15:00,False
281,2019/5/21,11:30:00,False
282,2019/5/21,11:45:00,False
283,2019/5/21,12:00:00,False
284,2019/5/21,12:15:00,False
285,2019/5/21,12:30:00,False
286,2019/5/21,12:45:00,False
287,2019/5/21,13:00:00,False
288,2019/5/22,09:15:00,False
289,2019/5/22,09:30:00,False
290,2019/5/22,09:45:00,False
291,2019/5/22,10:00:00,False
292,2019/5/22,10:15:00,False
293,2019/5/22,10:30:00,False
294,2019/5/22,10:45:00,False
295,2019/5/22,11:00:00,False
296,2019/5/22,11:15:00,False
297,2019/5/22,11:30:00,False
298,2019/5/22,11:45:00,False
299,2019/5/22,12:00:00,False
300,2019/5/22,12:15:00,False
301,2019/5/22,12:30:00,False
302,2019/5/22,12:45:00,False
303,2019/5/22,13:00:00,False
304,2019/5/23,09:15:00,False
305,2019/5/23,09:30:00,False
306,2019/5/23,09:45:00,False
307,2019/5/23,10:00:00,False
308,2019/5/23,10:15:00,False
309,2019/5/23,10:30:00,False
310,2019/5/23,10:45:00,False
311,2019/5/23,11:00:00,False
312,2019/5/23,11:15:00,False
313,2019/5/23,11:30:00,False
314,2019/5/23,11:45:00,False
315,2019/5/23,12:00:00,False
316,2019/5/23,12:15:00,False
317,2019/5/23,12:30:00,False
318,2019/5/23,12:45:00,False
319,2019/5/23,13:00:00,False
320,2019/5/24,09:15:00,False
321,2019/5/24,09:30:00,False
322,2019/5/24,09:45:00,False
323,2019/5/24,10:00:00,False
324,2019/5/24,10:15:00,False
325,2019/5/24,10:30:00,False
326,2019/5/24,10:45:00,False
327,2019/5/24,11:00:00,False
328,2019/5/24,11:15:00,False
329,2019/5/24,11:30:00,False
330,2019/5/24,11:45:00,False
331,2019/5/24,12:00:00,False
332,2019/5/24,12:15:00,False
333,2019/5/24,12:30:00,False
334,2019/5/24,12:45:00,False
335,2019/5/24,13:00:00,False
336,2019/5/27,09:15:00,False
337,2019/5/27,09:30:00,False
338,2019/5/27,09:45:00,False
339,2019/5/27,10:00:00,False
340,2019/5/27,10:15:00,False
